cuisine,meal_type,food_name,ingredients,calories,fat,sat_fat,cholestrol,sodium,carbs,fiber,sugar,protein,diet_type,fatcontent,saturatedfatcontent
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,10.28,8.46
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,12.28,8.37
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,25.04,10.58
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,13.89,11.62
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,20.2,2.37
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,17.88,1.23
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,9.11,2.73
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.04,11.44
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.11,10.54
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,4.14,5.76
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,20.73,10.81
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,25.77,11.74
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,1.46,10.37
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,27.9,2.07
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,15.63,11.9
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,5.38,3.58
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,9.23,3.5
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,11.2,0.83
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,3.66,14.15
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.66,6.36
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.02,1.89
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,27.83,9.39
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,4.03,4.05
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,18.66,14.69
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,27.85,12.65
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,14.33,4.84
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.65,10.43
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,9.8,12.46
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,3.62,8.16
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,10.39,5.28
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,21.48,14.29
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,28.97,8.15
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,1.62,4.43
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,17.04,9.18
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,11.2,4.05
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,9.96,2.79
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,15.18,9.94
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,9.47,10.57
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,7.62,14.08
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,1.46,6.37
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,19.93,7.25
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.16,8.18
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,19.23,11.77
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,15.06,6.57
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,4.67,1.39
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,23.86,11.45
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,13.16,12.2
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,5.05,13.59
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,9.56,11.72
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,13.72,10.34
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,7.2,2.16
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,5.31,10.1
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,5.53,11.45
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.98,5.49
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,21.99,13.17
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,18.76,2.39
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,5.49,9.52
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,23.9,12.31
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,26.13,5.07
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,11.25,6.83
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,15.77,5.96
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,5.25,13.33
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,4.63,3.07
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,19.59,9.2
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,20.83,5.66
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,13.09,3.03
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,5.83,13.91
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,2.86,7.78
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,15.27,12.93
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,19.11,13.41
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,7.02,5.73
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,5.13,14.24
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,28.57,11.27
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,19.35,9.24
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,19.07,14.34
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,17.58,7.72
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,5.3,1.47
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,14.49,10.07
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,10.62,2.96
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,15.88,14.71
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,4.68,10.28
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,14.51,11.06
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.56,10.61
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,24.45,8.85
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,19.34,7.13
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,14.16,14.82
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,9.94,11.44
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,29.13,5.01
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,6.39,12.12
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,9.01,7.07
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,20.96,2.32
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,15.44,8.78
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,2.62,7.95
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,16.49,10.03
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,27.79,6.26
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,1.5,9.23
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,14.47,7.1
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,26.74,12.58
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,28.97,6.28
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,9.33,2.62
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,21.25,5.62
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,21.61,7.92
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,18.86,11.34
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,28.12,3.63
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,1.15,5.88
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,19.89,7.04
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,14.34,1.66
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,16.57,6.72
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,11.06,3.35
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,24.38,11.05
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,13.98,14.87
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,8.3,6.1
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,11.98,6.48
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,24.67,9.62
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,4.92,10.24
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,21.63,10.54
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,18.52,9.98
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,27.18,7.5
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,17.51,5.66
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,11.91,12.45
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,28.39,2.54
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,21.75,14.49
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,2.31,7.94
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,19.46,4.99
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.07,6.37
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,16.7,7.86
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,11.54,10.74
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,25.87,8.41
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,1.29,7.58
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,23.17,6.9
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,5.4,8.41
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,23.41,12.87
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,14.8,9.93
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,14.83,6.7
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,11.53,0.67
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,26.88,10.17
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,19.17,7.67
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,2.79,9.9
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,8.0,9.72
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,15.25,1.65
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,15.91,13.86
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,18.04,5.49
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,6.19,10.68
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,25.82,13.1
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,12.27,7.67
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.67,6.58
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,21.37,6.95
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,18.89,5.65
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,28.94,4.48
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.87,8.76
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,9.72,14.78
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,19.54,1.74
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,9.16,13.3
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,24.35,4.33
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,22.43,11.52
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,2.07,2.85
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,14.21,0.73
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,15.75,8.99
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,2.0,3.69
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,22.08,4.78
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,14.77,9.06
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,9.16,2.2
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,28.5,2.86
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,27.5,5.82
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,27.47,12.77
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,6.46,10.49
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,13.52,11.01
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,13.69,5.1
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,22.85,7.93
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,13.96,9.05
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,26.4,12.52
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,13.38,3.94
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,16.97,13.16
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,28.4,14.05
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,9.61,7.8
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,25.97,10.39
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,1.3,12.61
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,27.87,1.4
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,25.16,14.2
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,13.05,8.49
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,6.29,1.18
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,10.48,6.8
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,26.86,3.96
