Gender,Age,Height_cm,Weight_kg,BMI_Category,Goal,Body_Part,Exercise,Equipment,Reps,Sets,Intensity,Calories_Burned_30min,MuscleGain_kg_month
Male,26,160,118,Obese,Fat Loss,Glutes,Cable Kickback,Bodyweight,10,3,High,128,0.21
Female,50,181,95,Overweight,Fat Loss,Abs,Heel Touch,Bodyweight,14,5,High,129,0.13
Female,57,174,83,Overweight,Fat Loss,Chest,Pec Deck Fly,Bodyweight,14,5,High,217,0.12
Male,22,153,69,Overweight,Fat Loss,Arms,Bicep Curl,Bodyweight,11,5,High,155,0.28
Male,34,186,50,Underweight,Muscle Gain,Chest,Chest Press Machine,Machine,12,3,Low,127,0.21
Male,48,176,75,Normal,Maintenance,Glutes,Hip Thrust,Bodyweight,12,5,Moderate,214,0.24
Female,50,174,106,Obese,Fat Loss,Arms,Hammer Curl,Bodyweight,11,3,High,197,0.22
Female,35,187,75,Normal,Maintenance,Back,Bird Dog,Bodyweight,12,3,Moderate,102,0.19
Female,44,162,105,Obese,Fat Loss,Chest,Chest Press Machine,Machine,14,5,High,119,0.21
Male,18,180,76,Normal,Maintenance,Legs,Seated Leg Extension,Bodyweight,10,4,Moderate,204,0.14
Male,35,175,47,Underweight,Muscle Gain,Abs,Russian Twist,Bodyweight,14,4,Low,250,0.48
Female,29,156,48,Normal,Maintenance,Shoulders,Arm Circles,Bodyweight,12,5,Moderate,196,0.17
Male,21,182,95,Overweight,Fat Loss,Glutes,Cable Kickback,Bodyweight,15,5,High,226,0.2
Female,29,178,82,Overweight,Fat Loss,Legs,Walking Lunges,Bodyweight,15,4,High,155,0.19
Female,37,175,56,Underweight,Muscle Gain,Chest,Pec Deck Fly,Bodyweight,10,3,Low,243,0.63
Male,57,158,67,Overweight,Fat Loss,Glutes,Fire Hydrant,Bodyweight,15,5,High,122,0.26
Male,40,189,114,Obese,Fat Loss,Back,Lat Pulldown,Machine,15,5,High,188,0.12
Female,43,189,59,Underweight,Muscle Gain,Cardio,Rowing,Cardio Machine,13,5,Low,142,0.31
Female,26,188,120,Obese,Fat Loss,Abs,Dead Bug,Bodyweight,14,4,High,131,0.27
Male,57,164,117,Obese,Fat Loss,Arms,Bicep Curl,Bodyweight,11,5,High,150,0.14
Male,39,164,93,Obese,Fat Loss,Shoulders,Shoulder Press,Bodyweight,15,5,High,137,0.15
Female,51,181,117,Obese,Fat Loss,Chest,Incline Chest Press,Bodyweight,12,5,High,162,0.24
Female,27,168,48,Underweight,Muscle Gain,Legs,Leg Press,Machine,13,5,Low,182,0.23
Male,45,173,61,Normal,Maintenance,Abs,Heel Touch,Bodyweight,14,5,Moderate,189,0.29
Female,45,174,103,Obese,Fat Loss,Arms,Overhead Extension,Dumbbell,10,4,High,180,0.29
Female,25,168,97,Obese,Fat Loss,Back,Bent-Over Row,Bodyweight,12,3,High,105,0.16
Male,55,156,92,Obese,Fat Loss,Glutes,Step-Up,Bodyweight,11,5,High,204,0.14
Male,28,174,104,Obese,Fat Loss,Glutes,Hip Thrust,Bodyweight,13,5,High,167,0.1
Female,46,178,89,Overweight,Fat Loss,Abs,Heel Touch,Bodyweight,12,3,High,181,0.3
Female,36,179,93,Overweight,Fat Loss,Abs,Dead Bug,Bodyweight,15,5,High,108,0.19
Female,19,153,52,Normal,Maintenance,Back,Resistance Band Row,Bodyweight,10,3,Moderate,162,0.13
Male,19,165,80,Overweight,Fat Loss,Full Body,Mountain Climbers,Bodyweight,14,5,High,136,0.23
Female,30,183,84,Overweight,Fat Loss,Chest,Chest Press Machine,Machine,11,5,High,143,0.17
Female,38,189,68,Normal,Maintenance,Arms,Concentration Curl,Bodyweight,15,5,Moderate,157,0.27
Female,32,156,89,Obese,Fat Loss,Shoulders,Arm Circles,Bodyweight,10,3,High,103,0.19
Male,39,159,78,Obese,Fat Loss,Arms,Bicep Curl,Bodyweight,11,4,High,195,0.17
Female,33,176,82,Overweight,Fat Loss,Shoulders,Shoulder Press,Bodyweight,13,4,High,195,0.15
Male,18,186,75,Normal,Maintenance,Arms,Triceps Pushdown,Cable,13,4,Moderate,171,0.16
Male,28,158,52,Normal,Maintenance,Abs,Crunches,Bodyweight,12,5,Moderate,107,0.25
Female,27,165,56,Normal,Maintenance,Arms,Bicep Curl,Bodyweight,12,4,Moderate,177,0.2
Male,46,187,103,Overweight,Fat Loss,Glutes,Fire Hydrant,Bodyweight,13,4,High,204,0.13
Female,35,156,101,Obese,Fat Loss,Chest,Incline Push-Up,Bodyweight,15,3,High,183,0.15
Female,32,152,114,Obese,Fat Loss,Abs,Russian Twist,Bodyweight,11,4,High,141,0.24
Female,60,183,115,Obese,Fat Loss,Arms,Overhead Extension,Dumbbell,15,3,High,122,0.11
Male,25,169,46,Underweight,Muscle Gain,Full Body,Jumping Jacks,Bodyweight,14,5,Low,103,0.7
Female,47,161,109,Obese,Fat Loss,Chest,Incline Push-Up,Bodyweight,15,5,High,130,0.28
Male,32,180,55,Underweight,Muscle Gain,Arms,Overhead Extension,Dumbbell,12,3,Low,117,0.39
Male,24,180,111,Obese,Fat Loss,Legs,Step-Up,Bodyweight,10,3,High,237,0.14
Male,23,156,94,Obese,Fat Loss,Back,Lat Pulldown,Machine,14,4,High,118,0.29
Male,28,176,59,Normal,Maintenance,Glutes,Fire Hydrant,Bodyweight,11,3,Moderate,131,0.28
Female,21,160,49,Normal,Maintenance,Glutes,Cable Kickback,Bodyweight,10,4,Moderate,115,0.13
Female,58,180,56,Underweight,Muscle Gain,Arms,Hammer Curl,Bodyweight,12,5,Low,196,0.64
Male,29,170,95,Obese,Fat Loss,Legs,Seated Leg Extension,Bodyweight,15,4,High,194,0.13
Male,30,187,104,Overweight,Fat Loss,Legs,Seated Leg Extension,Bodyweight,11,3,High,194,0.26
Male,48,160,59,Normal,Maintenance,Full Body,Jumping Jacks,Bodyweight,15,4,Moderate,231,0.22
Male,52,185,119,Obese,Fat Loss,Glutes,Glute Bridge,Bodyweight,12,3,High,208,0.12
Female,39,189,54,Underweight,Muscle Gain,Chest,Chest Press Machine,Machine,12,5,Low,200,0.54
Female,27,183,90,Overweight,Fat Loss,Glutes,Cable Kickback,Bodyweight,10,3,High,168,0.26
Male,58,152,99,Obese,Fat Loss,Back,Seated Cable Row,Machine,14,4,High,162,0.23
Female,20,162,95,Obese,Fat Loss,Arms,Hammer Curl,Bodyweight,13,5,High,230,0.13
Male,27,179,119,Obese,Fat Loss,Abs,Heel Touch,Bodyweight,14,5,High,116,0.24
Male,53,184,111,Obese,Fat Loss,Shoulders,Shoulder Press,Bodyweight,13,4,High,194,0.17
Female,26,189,109,Obese,Fat Loss,Legs,Step-Up,Bodyweight,13,4,High,128,0.1
Female,38,160,96,Obese,Fat Loss,Abs,Russian Twist,Bodyweight,14,4,High,182,0.11
Female,33,189,57,Underweight,Muscle Gain,Chest,Incline Push-Up,Bodyweight,14,4,Low,238,0.22
Female,44,181,111,Obese,Fat Loss,Arms,Bicep Curl,Bodyweight,14,3,High,230,0.12
Male,27,190,93,Overweight,Fat Loss,Full Body,Jumping Jacks,Bodyweight,10,3,High,236,0.19
Female,40,172,55,Normal,Maintenance,Abs,Dead Bug,Bodyweight,13,4,Moderate,158,0.14
Female,32,178,72,Normal,Maintenance,Full Body,Jump Squats,Bodyweight,12,5,Moderate,203,0.21
Female,43,174,49,Underweight,Muscle Gain,Full Body,Jumping Jacks,Bodyweight,14,5,Low,126,0.46
Female,42,176,87,Overweight,Fat Loss,Full Body,Jump Squats,Bodyweight,10,3,High,201,0.12
Male,52,166,67,Normal,Maintenance,Cardio,Rowing,Cardio Machine,15,5,Moderate,173,0.23
Female,51,155,106,Obese,Fat Loss,Back,Seated Cable Row,Machine,13,4,High,204,0.25
Male,29,165,116,Obese,Fat Loss,Abs,Russian Twist,Bodyweight,12,5,High,195,0.29
Male,45,153,76,Obese,Fat Loss,Abs,Russian Twist,Bodyweight,12,4,High,229,0.22
Male,53,154,118,Obese,Fat Loss,Legs,Seated Leg Extension,Bodyweight,12,5,High,231,0.29
Female,30,151,87,Obese,Fat Loss,Back,Lat Pulldown,Machine,15,5,High,241,0.21
Female,43,159,52,Normal,Maintenance,Back,Bent-Over Row,Bodyweight,10,3,Moderate,160,0.21
Female,47,188,108,Obese,Fat Loss,Abs,Dead Bug,Bodyweight,14,3,High,174,0.13
Female,23,172,103,Obese,Fat Loss,Cardio,Cycling,Cardio Machine,11,5,High,150,0.14
Male,34,176,56,Underweight,Muscle Gain,Chest,Chest Press Machine,Machine,12,4,Low,203,0.68
Male,37,186,100,Overweight,Fat Loss,Shoulders,Shoulder Press,Bodyweight,11,3,High,121,0.28
Female,56,185,70,Normal,Maintenance,Back,Bent-Over Row,Bodyweight,15,3,Moderate,128,0.21
Male,39,164,53,Normal,Maintenance,Legs,Step-Up,Bodyweight,14,5,Moderate,135,0.24
Female,49,168,61,Normal,Maintenance,Arms,Overhead Extension,Dumbbell,10,3,Moderate,138,0.21
Male,20,156,104,Obese,Fat Loss,Shoulders,Arm Circles,Bodyweight,12,3,High,180,0.24
Female,58,178,52,Underweight,Muscle Gain,Cardio,Cycling,Cardio Machine,15,5,Low,132,0.65
Female,31,151,93,Obese,Fat Loss,Abs,Crunches,Bodyweight,12,3,High,226,0.27
Male,50,167,116,Obese,Fat Loss,Legs,Bodyweight Squat,Bodyweight,10,5,High,160,0.12
Male,55,181,104,Obese,Fat Loss,Legs,Walking Lunges,Bodyweight,10,5,High,192,0.29
Male,58,158,91,Obese,Fat Loss,Legs,Walking Lunges,Bodyweight,13,3,High,177,0.17
Female,33,179,59,Underweight,Muscle Gain,Cardio,Jump Rope,Equipment,13,4,Low,203,0.47
Male,28,150,108,Obese,Fat Loss,Back,Lat Pulldown,Machine,10,5,High,199,0.16
Male,55,174,77,Overweight,Fat Loss,Abs,Crunches,Bodyweight,10,5,High,122,0.25
Male,35,176,116,Obese,Fat Loss,Chest,Incline Push-Up,Bodyweight,15,4,High,152,0.22
Male,53,172,46,Underweight,Muscle Gain,Abs,Russian Twist,Bodyweight,13,4,Low,141,0.23
Female,35,159,45,Underweight,Muscle Gain,Abs,Plank,Bodyweight,14,3,Low,234,0.33
Male,21,163,113,Obese,Fat Loss,Chest,Pec Deck Fly,Bodyweight,13,5,High,205,0.23
Male,29,177,70,Normal,Maintenance,Cardio,Treadmill Walk (Incline),Cardio Machine,11,5,Moderate,227,0.26
Male,48,177,112,Obese,Fat Loss,Legs,Walking Lunges,Bodyweight,11,3,High,189,0.17
Female,51,177,97,Obese,Fat Loss,Legs,Bodyweight Squat,Bodyweight,13,5,High,120,0.13
Male,50,182,61,Underweight,Muscle Gain,Back,Bird Dog,Bodyweight,10,3,Low,246,0.77
Male,49,178,101,Obese,Fat Loss,Shoulders,Front Raise,Bodyweight,15,5,High,179,0.18
Male,34,158,98,Obese,Fat Loss,Back,Lat Pulldown,Machine,10,3,High,119,0.22
Male,22,180,95,Overweight,Fat Loss,Cardio,Jump Rope,Equipment,10,5,High,211,0.21
Female,46,150,120,Obese,Fat Loss,Glutes,Fire Hydrant,Bodyweight,12,5,High,136,0.24
Male,28,187,75,Normal,Maintenance,Legs,Walking Lunges,Bodyweight,15,3,Moderate,103,0.23
Female,21,158,49,Normal,Maintenance,Glutes,Cable Kickback,Bodyweight,10,3,Moderate,175,0.23
Female,56,176,83,Overweight,Fat Loss,Full Body,Mountain Climbers,Bodyweight,14,5,High,105,0.1
Female,43,182,90,Overweight,Fat Loss,Abs,Dead Bug,Bodyweight,12,4,High,205,0.26
Male,37,163,61,Normal,Maintenance,Glutes,Cable Kickback,Bodyweight,10,4,Moderate,130,0.2
Male,36,178,107,Obese,Fat Loss,Back,Resistance Band Row,Bodyweight,13,3,High,144,0.18
Female,51,174,46,Underweight,Muscle Gain,Shoulders,Arnold Press,Bodyweight,15,3,Low,150,0.78
Female,24,187,57,Underweight,Muscle Gain,Legs,Walking Lunges,Bodyweight,11,4,Low,147,0.34
Male,46,153,50,Normal,Maintenance,Legs,Walking Lunges,Bodyweight,13,4,Moderate,176,0.29
Male,45,184,93,Overweight,Fat Loss,Legs,Leg Press,Machine,10,3,High,198,0.3
Female,54,175,78,Overweight,Fat Loss,Full Body,Burpees,Bodyweight,15,5,High,211,0.11
Male,25,152,61,Overweight,Fat Loss,Back,Lat Pulldown,Machine,10,3,High,199,0.13
Male,24,153,91,Obese,Fat Loss,Cardio,Rowing,Cardio Machine,13,3,High,138,0.19
Male,36,182,70,Normal,Maintenance,Glutes,Glute Bridge,Bodyweight,12,4,Moderate,110,0.3
Female,34,166,81,Overweight,Fat Loss,Back,Seated Cable Row,Machine,15,5,High,248,0.24
Female,59,186,66,Normal,Maintenance,Glutes,Cable Kickback,Bodyweight,14,3,Moderate,139,0.3
Female,29,175,105,Obese,Fat Loss,Legs,Seated Leg Extension,Bodyweight,15,3,High,115,0.19
Female,60,166,75,Overweight,Fat Loss,Arms,Hammer Curl,Bodyweight,12,3,High,161,0.1
Female,34,188,47,Underweight,Muscle Gain,Back,Lat Pulldown,Machine,11,4,Low,132,0.28
Female,49,183,48,Underweight,Muscle Gain,Chest,Incline Chest Press,Bodyweight,14,3,Low,146,0.32
Male,40,152,74,Obese,Fat Loss,Abs,Heel Touch,Bodyweight,11,5,High,202,0.11
Female,44,157,75,Obese,Fat Loss,Chest,Pec Deck Fly,Bodyweight,12,4,High,201,0.18
Female,27,156,95,Obese,Fat Loss,Abs,Crunches,Bodyweight,15,4,High,215,0.19
Female,20,154,92,Obese,Fat Loss,Back,Resistance Band Row,Bodyweight,11,5,High,229,0.25
Female,59,164,56,Normal,Maintenance,Full Body,Jump Squats,Bodyweight,13,3,Moderate,154,0.14
Female,21,155,114,Obese,Fat Loss,Glutes,Hip Thrust,Bodyweight,15,4,High,213,0.28
Female,38,156,85,Obese,Fat Loss,Legs,Walking Lunges,Bodyweight,12,4,High,209,0.17
Male,53,183,60,Underweight,Muscle Gain,Glutes,Step-Up,Bodyweight,10,3,Low,113,0.26
Female,48,190,54,Underweight,Muscle Gain,Arms,Triceps Pushdown,Cable,15,5,Low,228,0.7
Male,23,163,115,Obese,Fat Loss,Glutes,Step-Up,Bodyweight,12,4,High,230,0.24
Male,42,184,85,Overweight,Fat Loss,Chest,Chest Press Machine,Machine,15,3,High,194,0.15
Female,23,171,113,Obese,Fat Loss,Back,Bird Dog,Bodyweight,14,5,High,124,0.15
Male,28,164,78,Overweight,Fat Loss,Shoulders,Arnold Press,Bodyweight,10,5,High,124,0.19
Male,26,153,66,Overweight,Fat Loss,Chest,Incline Push-Up,Bodyweight,12,4,High,108,0.22
Female,25,174,52,Underweight,Muscle Gain,Back,Bird Dog,Bodyweight,12,4,Low,237,0.59
Male,50,175,76,Normal,Maintenance,Abs,Russian Twist,Bodyweight,13,5,Moderate,149,0.14
Female,51,162,70,Overweight,Fat Loss,Arms,Overhead Extension,Dumbbell,12,5,High,210,0.13
Female,51,183,112,Obese,Fat Loss,Full Body,Kettlebell Swings,Kettlebell,14,3,High,176,0.17
Male,45,160,89,Obese,Fat Loss,Full Body,Jumping Jacks,Bodyweight,14,3,High,155,0.29
Female,43,182,74,Normal,Maintenance,Legs,Step-Up,Bodyweight,12,5,Moderate,115,0.14
Female,45,188,75,Normal,Maintenance,Legs,Leg Press,Machine,12,4,Moderate,221,0.12
Female,34,154,74,Obese,Fat Loss,Full Body,Mountain Climbers,Bodyweight,12,4,High,200,0.26
Male,25,155,76,Obese,Fat Loss,Legs,Leg Press,Machine,15,4,High,124,0.23
Female,44,171,108,Obese,Fat Loss,Glutes,Cable Kickback,Bodyweight,13,4,High,134,0.27
Male,45,174,60,Normal,Maintenance,Abs,Russian Twist,Bodyweight,11,3,Moderate,104,0.23
Female,55,151,48,Normal,Maintenance,Arms,Triceps Pushdown,Cable,13,5,Moderate,245,0.27
Male,43,154,50,Normal,Maintenance,Legs,Walking Lunges,Bodyweight,12,3,Moderate,186,0.23
Female,33,166,50,Underweight,Muscle Gain,Arms,Triceps Pushdown,Cable,14,4,Low,213,0.73
Male,19,179,72,Normal,Maintenance,Legs,Leg Press,Machine,11,5,Moderate,120,0.27
Male,48,154,61,Overweight,Fat Loss,Abs,Heel Touch,Bodyweight,12,5,High,208,0.18
Female,33,160,57,Normal,Maintenance,Legs,Walking Lunges,Bodyweight,12,4,Moderate,201,0.11
Female,38,188,120,Obese,Fat Loss,Cardio,Treadmill Walk (Incline),Cardio Machine,14,3,High,211,0.28
Female,36,167,115,Obese,Fat Loss,Arms,Concentration Curl,Bodyweight,10,4,High,123,0.16
Male,52,190,107,Overweight,Fat Loss,Shoulders,Lateral Raise,Bodyweight,10,5,High,189,0.23
Female,23,156,67,Overweight,Fat Loss,Legs,Walking Lunges,Bodyweight,13,3,High,101,0.12
Female,39,189,100,Overweight,Fat Loss,Legs,Bodyweight Squat,Bodyweight,11,5,High,228,0.12
Male,20,184,59,Underweight,Muscle Gain,Full Body,Jump Squats,Bodyweight,14,3,Low,188,0.76
Male,29,153,100,Obese,Fat Loss,Shoulders,Arnold Press,Bodyweight,15,4,High,111,0.2
Female,44,177,49,Underweight,Muscle Gain,Arms,Hammer Curl,Bodyweight,12,3,Low,214,0.76
Female,47,178,67,Normal,Maintenance,Shoulders,Arm Circles,Bodyweight,12,5,Moderate,200,0.21
Female,29,179,87,Overweight,Fat Loss,Chest,Incline Chest Press,Bodyweight,11,5,High,216,0.2
Male,26,187,105,Obese,Fat Loss,Chest,Push-Up,Bodyweight,11,3,High,222,0.12
Male,20,178,74,Normal,Maintenance,Abs,Dead Bug,Bodyweight,10,4,Moderate,244,0.16
Female,32,185,94,Overweight,Fat Loss,Legs,Bodyweight Squat,Bodyweight,13,4,High,165,0.1
Female,59,163,116,Obese,Fat Loss,Chest,Incline Chest Press,Bodyweight,13,4,High,244,0.23
Male,31,165,73,Overweight,Fat Loss,Full Body,Mountain Climbers,Bodyweight,14,4,High,232,0.27
Male,45,159,93,Obese,Fat Loss,Legs,Walking Lunges,Bodyweight,12,5,High,246,0.27
Male,46,152,92,Obese,Fat Loss,Arms,Triceps Pushdown,Cable,12,4,High,187,0.27
Male,41,180,96,Overweight,Fat Loss,Legs,Walking Lunges,Bodyweight,13,3,High,156,0.2
Male,39,177,102,Obese,Fat Loss,Abs,Crunches,Bodyweight,14,5,High,215,0.27
Female,28,177,102,Obese,Fat Loss,Chest,Pec Deck Fly,Bodyweight,12,3,High,128,0.15
Female,33,177,107,Obese,Fat Loss,Glutes,Glute Bridge,Bodyweight,12,4,High,219,0.17
Male,48,154,72,Obese,Fat Loss,Abs,Heel Touch,Bodyweight,13,4,High,106,0.16
Male,41,171,107,Obese,Fat Loss,Arms,Overhead Extension,Dumbbell,14,5,High,181,0.29
Male,44,164,53,Normal,Maintenance,Arms,Concentration Curl,Bodyweight,14,3,Moderate,202,0.16
Male,53,162,84,Obese,Fat Loss,Cardio,Cycling,Cardio Machine,11,4,High,163,0.18
Male,24,151,68,Overweight,Fat Loss,Glutes,Hip Thrust,Bodyweight,12,3,High,100,0.17
Female,21,160,54,Normal,Maintenance,Full Body,Burpees,Bodyweight,12,3,Moderate,156,0.25
Male,21,180,66,Normal,Maintenance,Legs,Seated Leg Extension,Bodyweight,12,5,Moderate,224,0.23
Male,45,188,84,Normal,Maintenance,Cardio,Elliptical,Cardio Machine,12,3,Moderate,112,0.25
Male,43,167,85,Obese,Fat Loss,Back,Lat Pulldown,Machine,14,4,High,192,0.15
Male,20,160,91,Obese,Fat Loss,Cardio,Treadmill Walk (Incline),Cardio Machine,11,5,High,181,0.28
Male,43,182,83,Overweight,Fat Loss,Cardio,Jump Rope,Equipment,14,4,High,194,0.11
Female,47,180,90,Overweight,Fat Loss,Legs,Seated Leg Extension,Bodyweight,10,3,High,122,0.1
Female,57,177,108,Obese,Fat Loss,Abs,Plank,Bodyweight,13,4,High,232,0.27
Female,27,170,55,Normal,Maintenance,Back,Resistance Band Row,Bodyweight,15,4,Moderate,125,0.25
Male,26,166,120,Obese,Fat Loss,Cardio,Cycling,Cardio Machine,10,4,High,189,0.21
Female,42,183,57,Underweight,Muscle Gain,Chest,Chest Press Machine,Machine,14,4,Low,143,0.22
Male,56,187,57,Underweight,Muscle Gain,Cardio,Elliptical,Cardio Machine,12,4,Low,123,0.36
Female,45,165,54,Normal,Maintenance,Shoulders,Arnold Press,Bodyweight,13,4,Moderate,237,0.19
Male,21,175,115,Obese,Fat Loss,Chest,Incline Push-Up,Bodyweight,15,4,High,206,0.23
Female,42,162,115,Obese,Fat Loss,Cardio,Jump Rope,Equipment,13,4,High,201,0.14
Male,54,167,109,Obese,Fat Loss,Cardio,Jump Rope,Equipment,11,4,High,178,0.1
Male,18,186,108,Obese,Fat Loss,Glutes,Fire Hydrant,Bodyweight,13,3,High,131,0.13
Male,19,157,45,Underweight,Muscle Gain,Chest,Push-Up,Bodyweight,12,5,Low,186,0.69
Female,60,185,76,Normal,Maintenance,Abs,Plank,Bodyweight,14,5,Moderate,175,0.28
Female,25,174,63,Normal,Maintenance,Shoulders,Arm Circles,Bodyweight,10,4,Moderate,185,0.13
Female,24,182,80,Normal,Maintenance,Abs,Crunches,Bodyweight,13,3,Moderate,232,0.24
Male,35,189,62,Underweight,Muscle Gain,Arms,Overhead Extension,Dumbbell,10,5,Low,101,0.44
Male,41,184,68,Normal,Maintenance,Abs,Crunches,Bodyweight,13,5,Moderate,196,0.14
Male,19,177,72,Normal,Maintenance,Legs,Seated Leg Extension,Bodyweight,15,4,Moderate,159,0.16
Male,29,183,79,Normal,Maintenance,Abs,Dead Bug,Bodyweight,12,3,Moderate,163,0.23
Female,20,150,76,Obese,Fat Loss,Glutes,Fire Hydrant,Bodyweight,15,3,High,139,0.18
Female,52,172,82,Overweight,Fat Loss,Back,Lat Pulldown,Machine,11,4,High,244,0.15
Male,56,175,113,Obese,Fat Loss,Back,Seated Cable Row,Machine,13,5,High,203,0.21
Male,46,158,61,Normal,Maintenance,Full Body,Kettlebell Swings,Kettlebell,14,3,Moderate,104,0.27
Female,40,153,49,Normal,Maintenance,Back,Bent-Over Row,Bodyweight,10,3,Moderate,234,0.16
Male,39,164,116,Obese,Fat Loss,Glutes,Hip Thrust,Bodyweight,15,5,High,209,0.2
Male,33,174,76,Overweight,Fat Loss,Back,Bent-Over Row,Bodyweight,10,5,High,126,0.2
Male,21,155,71,Overweight,Fat Loss,Chest,Incline Push-Up,Bodyweight,13,4,High,142,0.26
Female,30,165,46,Underweight,Muscle Gain,Chest,Pec Deck Fly,Bodyweight,13,3,Low,208,0.72
Male,44,164,89,Obese,Fat Loss,Legs,Bodyweight Squat,Bodyweight,13,5,High,191,0.1
Male,49,155,103,Obese,Fat Loss,Cardio,Elliptical,Cardio Machine,10,4,High,190,0.21
Female,52,181,103,Obese,Fat Loss,Legs,Step-Up,Bodyweight,13,3,High,194,0.14
Male,22,187,46,Underweight,Muscle Gain,Back,Seated Cable Row,Machine,15,5,Low,212,0.31
Male,33,185,107,Obese,Fat Loss,Shoulders,Shoulder Press,Bodyweight,13,3,High,247,0.28
Male,22,164,97,Obese,Fat Loss,Chest,Push-Up,Bodyweight,15,4,High,148,0.29
Female,44,175,106,Obese,Fat Loss,Full Body,Jump Squats,Bodyweight,15,4,High,144,0.26
Male,39,183,89,Overweight,Fat Loss,Legs,Leg Press,Machine,14,3,High,182,0.25
Female,53,189,97,Overweight,Fat Loss,Legs,Bodyweight Squat,Bodyweight,13,4,High,167,0.15
Male,27,163,103,Obese,Fat Loss,Back,Bird Dog,Bodyweight,10,4,High,108,0.2
Male,49,157,51,Normal,Maintenance,Glutes,Glute Bridge,Bodyweight,14,4,Moderate,125,0.23
Male,27,176,120,Obese,Fat Loss,Back,Resistance Band Row,Bodyweight,10,5,High,165,0.17
Male,36,183,114,Obese,Fat Loss,Legs,Leg Press,Machine,14,4,High,244,0.18
Female,29,157,72,Overweight,Fat Loss,Legs,Leg Press,Machine,12,3,High,100,0.28
Male,37,188,99,Overweight,Fat Loss,Legs,Walking Lunges,Bodyweight,14,5,High,107,0.11
Male,39,152,72,Obese,Fat Loss,Cardio,Jump Rope,Equipment,11,3,High,162,0.23
Female,49,159,117,Obese,Fat Loss,Full Body,Jump Squats,Bodyweight,15,5,High,177,0.15
Male,34,169,73,Overweight,Fat Loss,Full Body,Kettlebell Swings,Kettlebell,13,3,High,218,0.27
Male,46,186,117,Obese,Fat Loss,Back,Lat Pulldown,Machine,15,3,High,113,0.28
Female,24,185,112,Obese,Fat Loss,Cardio,Cycling,Cardio Machine,13,5,High,107,0.11
Male,45,157,102,Obese,Fat Loss,Legs,Seated Leg Extension,Bodyweight,12,4,High,131,0.18
Male,20,186,71,Normal,Maintenance,Glutes,Cable Kickback,Bodyweight,12,4,Moderate,233,0.13
Female,19,170,46,Underweight,Muscle Gain,Glutes,Fire Hydrant,Bodyweight,14,3,Low,110,0.45
Male,30,157,103,Obese,Fat Loss,Full Body,Burpees,Bodyweight,14,3,High,138,0.27
Male,26,190,45,Underweight,Muscle Gain,Cardio,Rowing,Cardio Machine,11,4,Low,147,0.57
Male,24,155,46,Normal,Maintenance,Glutes,Hip Thrust,Bodyweight,12,5,Moderate,151,0.12
Female,32,181,63,Normal,Maintenance,Arms,Overhead Extension,Dumbbell,15,4,Moderate,119,0.15
Female,45,161,97,Obese,Fat Loss,Arms,Concentration Curl,Bodyweight,11,5,High,234,0.22
Male,31,189,57,Underweight,Muscle Gain,Arms,Triceps Pushdown,Cable,10,5,Low,177,0.38
Female,21,151,49,Normal,Maintenance,Full Body,Jumping Jacks,Bodyweight,12,3,Moderate,175,0.19
Female,27,158,47,Normal,Maintenance,Abs,Dead Bug,Bodyweight,12,5,Moderate,151,0.27
Male,35,160,62,Normal,Maintenance,Shoulders,Arnold Press,Bodyweight,13,5,Moderate,123,0.25
Male,36,176,97,Obese,Fat Loss,Glutes,Fire Hydrant,Bodyweight,13,4,High,165,0.2
Female,57,188,54,Underweight,Muscle Gain,Legs,Seated Leg Extension,Bodyweight,14,5,Low,235,0.68
Female,48,177,49,Underweight,Muscle Gain,Arms,Hammer Curl,Bodyweight,15,4,Low,228,0.42
Female,46,189,117,Obese,Fat Loss,Chest,Push-Up,Bodyweight,10,4,High,187,0.15
Female,28,173,66,Normal,Maintenance,Shoulders,Shoulder Press,Bodyweight,13,5,Moderate,239,0.18
Female,23,168,119,Obese,Fat Loss,Back,Bent-Over Row,Bodyweight,15,3,High,207,0.21
Female,54,154,87,Obese,Fat Loss,Cardio,Treadmill Walk (Incline),Cardio Machine,14,5,High,166,0.21
Male,31,158,69,Overweight,Fat Loss,Shoulders,Lateral Raise,Bodyweight,13,5,High,246,0.12
Male,19,156,57,Normal,Maintenance,Chest,Incline Push-Up,Bodyweight,12,4,Moderate,158,0.16
Female,25,183,49,Underweight,Muscle Gain,Back,Resistance Band Row,Bodyweight,10,3,Low,192,0.44
Female,42,181,90,Overweight,Fat Loss,Full Body,Mountain Climbers,Bodyweight,13,4,High,155,0.2
Female,31,162,52,Normal,Maintenance,Full Body,Kettlebell Swings,Kettlebell,12,3,Moderate,111,0.23
Female,26,181,63,Normal,Maintenance,Abs,Heel Touch,Bodyweight,10,4,Moderate,157,0.26
Male,44,177,83,Overweight,Fat Loss,Cardio,Cycling,Cardio Machine,15,5,High,126,0.23
Male,60,173,87,Overweight,Fat Loss,Shoulders,Shoulder Press,Bodyweight,13,3,High,180,0.19
Male,20,182,93,Overweight,Fat Loss,Legs,Bodyweight Squat,Bodyweight,11,3,High,250,0.22
Male,27,183,115,Obese,Fat Loss,Shoulders,Arm Circles,Bodyweight,12,3,High,222,0.23
Male,35,162,91,Obese,Fat Loss,Legs,Bodyweight Squat,Bodyweight,13,3,High,226,0.23
