cuisine,meal_type,food_name,ingredients,calories,fat,sat_fat,cholestrol,sodium,carbs,fiber,sugar,protein,diet_type,fatcontent
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,7.21
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,6.44
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,15.63
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,23.77
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,19.49
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,22.28
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,26.31
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,21.66
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,22.14
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,15.39
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,18.13
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,8.53
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,2.74
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,7.63
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,15.77
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,12.5
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,21.62
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,26.22
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,2.14
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,19.67
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,3.03
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,14.58
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,4.29
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,3.96
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,20.81
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,13.46
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,7.35
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,21.93
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,20.33
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,3.8
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,19.77
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,18.02
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,12.66
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.4
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,1.33
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,19.3
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,13.67
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,10.31
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,16.43
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,23.84
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,28.55
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,11.74
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,23.12
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,21.65
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,20.45
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,8.76
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,1.63
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,18.27
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,15.63
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,20.22
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,19.16
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,23.5
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,7.94
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,13.2
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,5.14
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,6.93
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,27.8
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,29.45
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,1.3
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,27.36
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,13.78
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,5.06
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,26.64
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,13.12
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,19.79
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,22.84
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,2.37
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,12.15
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,7.74
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,2.84
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,22.23
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,25.09
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,19.7
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,20.55
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,5.89
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,18.95
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,25.62
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,17.71
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,23.86
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,22.34
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,25.14
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.87
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,13.24
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,25.55
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,26.62
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,1.87
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,24.4
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,4.77
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,19.9
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,28.0
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,25.78
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,21.23
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,10.61
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,4.39
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,7.88
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,3.3
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,15.94
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,1.3
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,5.61
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,5.84
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,11.76
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,1.71
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,17.3
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,20.88
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,10.17
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,7.92
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,9.41
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,18.46
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,18.39
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,28.64
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,29.33
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,29.23
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,16.54
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,22.8
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,25.72
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,15.41
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,11.3
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,28.81
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,22.31
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,5.91
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,14.88
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,6.43
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,24.32
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,13.33
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,26.91
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,15.9
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,24.77
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,6.21
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,27.32
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,13.96
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,11.96
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,9.6
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,25.32
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,13.69
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,12.59
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,19.09
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,14.38
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,3.45
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,4.76
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,6.15
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,16.02
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,12.44
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.54
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,21.17
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.79
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,2.17
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,9.2
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,27.84
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.59
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,12.4
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,13.54
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,16.19
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,14.9
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,9.59
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,4.35
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,29.5
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,25.72
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,5.05
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,22.54
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,14.3
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,2.39
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,4.69
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,3.92
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,13.24
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,14.29
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,22.5
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.11
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,12.03
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,24.57
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,15.18
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,1.85
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.38
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,18.71
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,27.42
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,6.06
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,9.73
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,17.89
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,7.01
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,15.54
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,5.57
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,17.45
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,2.92
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,24.69
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,19.98
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,10.33
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,8.4
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,7.09
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,22.19
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,22.58
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,14.22
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,14.72
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,15.9
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,29.4
